"estate_object_name","construction_adress"
"Жилой микрорайон Новые Ватутинки","Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53, д. № 83"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция  3, проектный номер 149, номер на площадке 1. дом 4"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер.., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. дом № 3"
" Татьянин парк","Московская область г поселение Московский северо-западнее д Говорово 20"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, в составе 2-й очереди строительства, 5-й квартал жилой застройки дом 1"
" Некрасовка Парк","ЮВАО , район Некрасовка кв.5 ,корп. 6"
" LIFE-Митинская ","СЗАО, район Митино, Митинская улица, вл. 22, корпус 1, условный проектный номер квартиры 109"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер. кв.5, секция  1, проектный номер 52, номер на площадке 3. дом 3"
" Москва А101","Москва, НАО, поселение Сосенское, пос. Коммунарка, корп 13"
" Москва А101","НАО, поселение Сосенское, пос. Коммунарка"
" Ривер Парк ","Г. Москва, ЮАО, район Нагатинский затон, улица Речников, вл.7, стр.2, 2А, 3, 6, 8-10, 13, 16, 18, 23–26, 31, 45, 54, 55"
" Борисоглебское","Поселение Новофедоровское, деревня Зверево, дом 148 кв 10"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., д. 2, кв.5."
" Зеленый бор","Г. Москва, г. Зеленоград, ул. Радио, корпус 2305, квартира № 35"
" Троицкая Ривьера","Г.о. Троицк, ул. Заречная, строительный номер 8 "
"Многоквартирный жилой дом ","Москва, г. Щербинка, местечко Барыши, корп. 11, секция 6, № на площадке 1"
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, секция  6, проектный номер 335, № на площадке 1."
"Некрасовка Парк","Москва, ЮВАО, район Некрасовка, кв. 7, корп. 5"
"Жилой район Бунинский","Нао, поселение сосенское, деревня сталбово, уч 27, корп 12"
" Первый Московский","Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1 в составе жилой застройки на земельных участках тепличного комбината № 1 (согласно Постановлениям Правительства Москвы от 25 июля 2012 г. № 352-ПП и от 25 июля 2012 года № 353-ПП а"
" Альбатрос","Г. Москва, ул. Твардовского, дом 12, корп. 3, кв.493"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., кв.1, корп. 4.5,6,7,8,9, в составе жилой застройки 1-ая очередь 2-й пусковой комплекс"
" Некрасовка Парк ","ЮВАО, район Некрасовка, секция 2, корп. 3, Люберецкие поля аэрации , кв. 31"
" Ново-Никольское ","Г. Москва, п. Первомайское, вблизи дер. Ивановское, уч. 1/1"
" Ново-Никольское ","Г. Москва, п. Первомайское, вблизи д. Ивановское, уч. 1/1, секция 1, строительный номер квартиры 19"
" Первый Московский","НАО, поселение Московский, Московский пос.., кв. 2, мкр. 1, в составе жилой застройки на земельных участках тепличного комбината №1. Кадастровый номер земельного участка 50:21:0110205:595."
" Татьянин парк","Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 4, 5 , корпус 4, квартира 15"
"Многоквартирный жилой дом ","Москва, г. Щербинка, местечко Барыши, кор. 8, этаж 17, номер квартиры на площадке 7"
" Некрасовка Парк","Москва, ЮВАО, район Некрасовка, кв. 5, корп. 8, примерно в 800 м по направлению на северо-запад от ориентира северо-западная граница "
" Москва А101","Москва НАО поселение Сосенское поселок Газопровод корп 17"
" Первый Московский","НАО, поселение Московский, Московский пос., кв. 2, мкр. 1, секция  1, проектный номер 46, № на площадке 2. поз 2"
"Жилой район Бунинский","НАО, поселение Сосенское, деревня Столбово, вблизи уч. № 27, корп. 9"
" Альбатрос","Ул. Твардовского, д. 12, корп. 3, кв. 597"
"Жилой микрорайон Новые Ватутинки","НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корп. 35"
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2, микрорайон 1, в составе жилой застройки на земельных участках тепличного комбината №1, поз. 4, секция 3, этаж 10, проектный номер 170, № на площадке 3"
" Первый Московский","Москва, НАО, поселение Московский, Московский пос., кв. 2, мкр. 1, секция 6, проектный номер 385, № на площадке 3 поз 7"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5 ljv 4"
"Жилой район Бунинский","Г. Москва, НАО, поселение Сосенское, деревня Столбово, вблизи уч. № 27, корп. 9,"
" Москва А101","НАО п поселение Сосенское, пос.Коммунарка  корп. 13, кв.11"
" Переделкино Ближнее","Москва, НАО, дом, 4, секция 3, этаж 13, проектный номер 174"
" Garden Park Эдальго","Москва, п. Сосенское, пос. Коммунарка, ул. Фитарёвская, д. 19"
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, в составе жилой застройки на земельных участках тепличного комбината №1"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, секция  4, проектный номер 220. номер на площадке 4."
" Переделкино Ближнее","НАО, поселение Веуковское, Рссказовка дер., уч. 13/2,"
"Многоквартирный жилой дом ","Г. Москва г. Щербинка местечко корп. 11 ="
" Татьянин парк","НАО, поселение Московский, Говорово дер., северо-западнее, корп. 1, секция 3, порядковый номер на площадке 2, условный номер Объекта долевого строительства 160."
" Зеленый бор","Г.Москва, г.Зеленоград, корпус 2303 , кв. 25"
" Вяземское","Г. Москва, поселение Сосенское, д. Николо-Хованское"
" Лобачевский","Москва, ЗАО, район Раменки, ул.Лобачевского, вл.118, корпус 3, квартира 66"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2 , кв. 303"
" Переделкино Ближнее","22-х этажный 4-х секционный индивидуальный жилой дом № 4  с подвалом и «теплым» чердаком, встроенным ИТП и нежилым помещением общественного назначения на первом этаже, строительство которого ведется по адресу: Москва, НАО, поселение Внуковско"
" Вершинино","Г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 2."
" Новое Бутово","НАО пос Воскресенское дер Язово корп 10 кв 176"
"Жилой микрорайон Новые Ватутинки","НАО, пос Десеновское, Десна дер. вблизи, уч. 50/8, корп 35 кв 51"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки"
" Некрасовка Парк ","ЮВАО, район Некрасовка, кв. 5, корп. 4, Люберецкие поля аэрации "
" Вершинино","Г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 4"
" Борисоглебское","Г. М-ва, поселение Новофедоровское, дер. Зверево, дом № 139, секция Г2, условный № кв. 41."
"Некрасовка Парк","Ювао район некрасовка кв. 7 корп. 10"
"Многоквартирный жилой дом ","Г. Щербинка, местечко Барыши, корп. 8"
" LIFE-Митинская ","Г. Москва. СЗАО, район Митино, ул. Митинская, корпус Б, секция 1, кв. 364"
" Первый Московский","Ленинский район, городское поселение Московский, г. Московский. Дом №5"
"Многоквартирный жилой дом ","Г. Щербинка, местечко Барыши, корп. 11"
"Многоквартирный жилой дом ","Московская область ,г. Щербинка ,местечко Барыши , д. 42, корп.11"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция  2, проектный номер 66, номер на площадке 2."
" Переделкино Ближнее","Рассказовка 6 квл поз 9"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:685, корп.6"
" Первый Московский","Москва"
" LIFE-Митинская ","Г. Москва, СЗАО, район Митино, Митинская улица, вл. 22."
" Ново-Никольское ","П. первомайское, вблизи д.Ивановское, уч.1/1"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2  номер земельного участка: 50:21:100211:685"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., квартал 5, дом №2"
" Новые Ватутинки","НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 34"
" Некрасовка Парк ","Москва, ЮВАО, район Некрасовка, кв. 5, корп. 1, Люберецкие поля аэрации , корпус 1, секция 5, условный номер квартиры 305"
" Новое Бутово","Город Москва, НАО, поселение Воскресенское, деревня Язово, корпус 7"
" LIFE-Митинская ","Москва , СЗАО , РАЙОН МИТИНО, Митинская улица , вл.22, корп.1"
" Бунинский","НАО, поселение Сосенское, деревня Столбово, уч. №27, корп. 12, кв.191"
" Новое Бутово","Г. Москва, поселение Воскресенское, д. Язово, корпус 5, квартира 239"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, дом №2, секция 2 ;этаж 6; проектный номер 84; номер на площадке 4, количество комнат 2 , общая проектная площадь 63,40 кв.м."
" Вершинино","Г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 3"
" Некрасовка Парк ","Г Москва АО ЮВАО, район Некрасовка кв-л 5, Люберецкие поля аэрации  корп. 1"
"Жилой район Бунинский","Посегород Москва, НАО, поселение Сосенское, вблизи д. Столбово, уч. 27. кор.10"
" Бунинский","Г. Москва, НАО, поселение Сосенское, деревня Столбово, уч. №27, корп. 12,условный номер квартиры 205, номер на площадке 1, проектной площадью 82,83 кв. м., расположенная на 14 этаже, в/во 3 секции жилого дома"
"Многоквартирный жилой дом ","Г. Москва, г. Щербинка, местечко Барыши, корп. 8 "
" Татьянин парк ","П. Московский, северо-западнее д. Говорово, корпус 21, секция 4, квартира 166"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки поз 8"
"Жилой комплекс Новые Ватутинки","Москва, НАО, поселение Десёновское, Десна дер., вблизи, уч. 50/12, корп. 2"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь. Дом № 10"
" Солнцево парк","Поселение Внуковское, д. Пыхтино, уч. 6/1, корпус 12"
"Жилой район Бунинский","Г Москва г НАО, поселение Сосенское д Столбово уч-к 27 к 9"
"Некрасовка Парк","Москва, р-н. Некрасовка, кв-л 7, к. 7"
"Апарт-отель YE`S ","Г. Москва, СЗАО, ул. Митинская, вл. 16."
"Многоквартирный жилой дом ","Г.Щербинка, местечко Барыши дом 42 корп 11"
" Новые Ватутинки","НАО, поселение Десеновское, в районе дер. Десна, уч. 53"
" Москва А101","Москва, НАО, поселение Сосенское, пос. Коммунарка. Корпус № 13."
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:685"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, в составе 2-й очереди строительства, 5-й квартал жилой застройки, секция 4, проектный номер 337Ю номер на площадке 1."
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2 дом 6"
" Некрасовка Парк ","ЮВАО, район Некрасова, кв. 5, корп. 4, Люберецкие поля аэрации"
"Жилой район Бунинский","Г. Москва , НАО , поселение Сосенское , деревня Столбово , вблизи уч. № 27 , корп. 10"
" Лобачевский","ЗАО, район Раменки, ул.Лобачевского, вл.118"
" Новое Бутово","Г.Москва, НАО, поселение Воскресенское, деревня Язово, д.8, кв.323"
" Москва А101","Москва, НАО, поселение Сосенское, пос. Коммунарка, корп.13"
" Ривер Парк ","Москва , ногатинский затон, ул речников вл 7"
" «Эмеральд» ","Ленинский проспект, вл. 105"
" Ново-Никольское ","Наро-Фоминский район, с.п. Первомайское, вблизи д. Ивановское, уч.1/1 д № по ГП 12, кв 8"
" Москва А101","НАО, поселение Сосенское, посёлок Газопровод, корпус № 15"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:685"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Дом № 2"
" Татьянин парк ","П. Московский, северо-западнее деревни Говорово"
" LIFE-Митинская ","Г. Москва, СЗАО, район Митино, улица Митинская корус Б"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5"
" Татьянин парк","НАО, поселение Московский, Говорово дер., северо-западнее,"
" М-Хаус","Москва ЮАО район Чертано Южное Кировоградская улица вл. 25 стр. 1,2 № квартиры 77 секция 1"
" LIFE-Митинская ","Г. Москва, СЗАО, район Митино, улица Митинская, корпус Б, условный проектный номер № 430"
" Ново-Никольское ","Г. Москва, п. Первомайское, вблизи    д. Ивановское, уч. 1/1"
" Первый Московский","Московская область, Ленинский район, городское поселение Московский, г. Московский"
" Первый Московский","Москва, НАО, поселение Московский, Московский пос.., кв. 2, мкр. 1 поз.3"
" Татьянин парк","Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 4, 5"
"Жилой микрорайон Новые Ватутинки","Г Москва,п. Десеновское. Нововатутинский просп,10"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2 . дом № 9"
"Некрасовка Парк","Г. Москва, ЮВАО, р-н Некрасовка, кв.7, корп. 9"
" Первый Московский","Ленинский район, городское поселение Московский, г. Московский, дом №5"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция  2, проектный номер 67, номер на площадке 3. поз 2"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Земельный участок с кадастровым номером 50:21:100211:685 дом 4"
"Многоквартирный жилой дом ","Г.Щербинка, местечко барыши, д.42, корп.15,кв.8"
"Некрасовка Парк","ЮВАО, район Некрасовка, кв. 7, корпус 3, секция 4, условный № квартиры 214"
" LIFE-Сходненская",": г. Москва, Химкинский бульвар, дом 14, корпус 3 "
" Red Side","Москва, ЦАО, район Пресненский, улица Сергея Макеева, вл. 9, ул. 2-я Черногрязская, вл. 6, Корпус № 7, подъезд № 3, лестничный блок 301, этаж 3 , условный номер Квартиры: 828 , порядковый номер Квартиры на этаже: 1"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь"
" Первый Московский","Г.Москва НАО поселение Московский Московский пос. квартал 2 микрорайон 1"
"Жилой микрорайон Новые Ватутинки","НАО, поселение Десёновское,Десна дер. вблизи, уч. 50/12,корп 6"
" Татьянин парк","НАО, поселение Московский, Говорово дер., северо-западнее, корп. 4,5"
"Жилой микрорайон Новые Ватутинки","Ленинский р-н, Десеновское сп вбдлизи дер Десна уч 53 корп 58 кв 6"
" Виноградный","Измайловский проезд, владение 1, корпус 1, квартира № 93"
" Ривер Парк ","Г. Москва, ул. Речников, вл. 7, корпус 9. квартира 151"
" Первый Московский","НАО, поселение Московский, Московский пос., кв. 2, мкр. 1, в составе жилой застройки на земельных участках тепличного комбината №1 поз 7"
"Многоквартирный жилой дом ","Г.МОСКВА Г.ЩЕРБИНКА ,МЕСТЕЧКО БАРЫШИ ,корпус 11, секция 6, 9 этаж, на площадке 1"
" Москва А101","Москва, НАО, поселение Сосенское, пос. Коммунарка, корпус 14, квартира 14-386"
" Москва А101","НАО, пос. Сосенское, пос. Газопровод корп. 16"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 3, проектный номер 181, номер на площадке 1."
" Татьянин парк","Нао поселение Московский, Говорово. дер. северо-западнее. коррп. 2,3"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, в составе 2-й очереди строительства, 5-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:678"
"Многоквартирный жилой дом ","Г.Москва, г.Щербинка, местечко Барыши, корп. 15"
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1"
" Новое Бутово","НАО пос Воскресенское дер Язово корп 12 кв 139"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5"
" Татьянин парк","Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 2, 3 (кадастровый номер земельного участка 50:21:0110502:644, секция 1, усл. ном. кв. 34"
" Лобачевский","ЗАО, район РАМЕНКИ, ул Лобачевского, ал 118"
"Жилой район Бунинский","Г. Москва НАО, поселение Сосенское, деревня Столбово"
" Виноградный","Г. Москва, Измайловский проезд, владение 1, корпус 4, строительный номер квартиры 17, секция 1"
" Москва А101","Москва, НАО . поселение Сосенское . поселок Газопровод корпус 17 кв 17-117"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5. Кадастровый номер земельного участка 50:21:100211:678"
" Первый Московский","Поселение Московский, г. Московский дом 5"
" Вершинино","ЮАО район Нагорный Электролитный проезд вл.16, корпус 1"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.1, корп. 4.5,6,7,8,9, в составе жилой застройки 1-ая очередь 2-й пусковой комплекс. Кадастровый номер земельного участка 50:21:100211:686"
"Многоквартирный жилой дом ","Г. Москва, г. Щербинка, местечко Барыши, корп. 11, секции 1, № кв на пл. 6.       Кад. № 50:61:0000000:11."
" Альбатрос","Ул. Твардовского, д.12, корп.3, кв.185"
"Некрасовка Парк","ЮВАО, район Некрасовка, кв.7, корп.6, примерно в 1040м по направлению на северо-запад от ориентира северо-западная граница"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 3, проектный номер 176, номер на площадке 4 поз 8"
" Новые Ватутинки","Москва, НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 34"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки дом 4"
" Новое Бутово","Г Москва АО НАО п Воскресенское д Язово корп. 7"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв. 5, в составе 2-й очереди строительства, 5-й квартал жилой застройки, жилой дом № 1"
" Ново-Никольское ","Г. Москва, п. Первомайское, вблизи д. Ивановское, уч. 1/1 дом 9"
"Квартиры-таунхаусы","МОСКВА, ПОСЕЛЕНИЕ СОСЕНСКОЕ, ВБЛИЗИ ДЕР. НИКОЛО-ХОВАНСКОЕ, УЧ.11, ДОМ 5, кв.57"
" Бутовские аллеи","Г. Москва, НАО, п. Сосенское, вблизи д. Столбово, жилые дом № 17, секция 3, условный № кв. 75. Кад. № 50:21:120311:0194."
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2 дом 4 квл 6"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:685 дом 2"
"Многоквартирный жилой дом ","Г. Щербинка м. Барыши, корп. 11"
"МФК ФЛОТИЛИЯ","Г. Москва, САО, ул. Ляпидевского, вл.1 в корпусе № 3 на 22 этаже, условный номер на этаже № 3"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь, жилой дом №10, проектный номер квартиры 12"
" Новые Ватутинки","Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53, Многоквартирный жилой дом № 77"
"Многоквартирный жилой дом ","Г.Москва г.Щербинка местечко Барыши корп.11"
" Ривер Парк ","Ул. Речников, вл. 7. корпус №9, проектный номер квартиры 213"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 1, проектный номер 16, номер на площадке 4. поз 4"
" Вершинино","Электролитный проезд, вл. 16"
" Переделкино Ближнее","НАО , поселение Внуковское, Рассказовка дом 5"
" Новое Бутово","Ленинский район, Сосенский с/о, в районе д. Язово"
" Первый Московский","НАО, поселение Московский, Московский пос., кв. 2, мкр. 1, поз. №3, секция 1, этаж 10, проектный номер 38, № на площадке 3"
"Квартиры-таунхаусы","Г.Москва, поселение Сосенское, вблизи дер. Николо-Хованское, уч. 11, дом условный №6, усл.ном кв.21"
" Ривер Парк ","Г. Москва, ул. Речников, вл. 7, корпус 9, квартира 166"
"Многоквартирный жилой дом ","Г. Щербинка, местечко Барыши, корп. 11,в секции 4 на 5 этаже Жилого дома, номер квартиры на площадке  6"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.1, корп. 4.5,6,7,8,9 дом 5"
" Татьянин парк","Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 1 "
" Москва А101","НАО, поселение Сосенское, пос. Коммунарка, корпус 14, кв.14-102"
" Некрасовка Парк ","ЮВАО, район Некрасовка, кв. 5, корп. 1, Люберецкие поля аэрации , квартира 198"
"Многоквартирный жилой дом ","Г.Москва,г.Щербинка,местечко Барыши,корпус 11, секция 5, этаж 12, кв на площадке 6"
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1 в составе жилой застройки на земельных участках тепличного комбината № 1 дом 9"
" Первый Московский","Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, дом №4,подъезд 4, этаж 12, проектный номер 243; количество комнат 2;"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5. Кадастровый  номер земельного участка: 50:21:100211:678 дом 2"
"24608"," Рутаун"
" Татьянин парк","Ленинский район, городское поселение Московский, северо-западнее д. Говорово"
"Многоквартирный жилой дом ","Г. Щербинка, местечко Барыши, корпус 11."
" Москва А101","Г. Москва,НАО,поселение Сосенское,поселок Газопровод, корпус 17, секция 1, кв.17-18"
